name,address,city,country,province,latitude,longitude,categories,price_range_min,price_range_max
Pizza On 87,1368 N Arizona Ave Ste 101,Chandler,US,Arizona,33.327123,-111.842775,Italian Restaurant,0,25
Papa Vito's Pizza,223 W Mill St,Waterloo,US,Illinois,38.3358,-90.1531,Italian Restaurant,0,25
Pizza King,1225 S 10th St,Noblesville,US,Indiana,40.035328,-86.01213,Restaurant and Pizza Place,0,25
Marietta Pizza Company,3901 Mary Eliza Trace,Marietta,US,Georgia,33.966886,-84.665362,Restaurant and Pizza Place,0,25
PTA Pizza Hoagie,12277 Capital Blvd,Wake Forest,US,North Carolina,35.981014,-78.540873,American Restaurant,0,25
Pizza Port Brewing Company,1956 Bacon St,San Diego,US,California,32.748009,-117.250295,Others,25,40
Mia Pomodori,212 Rutledge Ave,Charleston,US,South Carolina,32.789445,-79.946849,Restaurant and Pizza Place,0,25
Pizza By The Chef,18050 Business 13 Unit B,Reeds Spring,US,Missouri,36.695625,-93.369907,Traditional Pizza Place,0,25
Pyramid Pizza,1029 Massachusetts St,Lawrence,US,Kansas,38.9651,-95.236,American Restaurant,0,25
Traversos Pizza Restaurant,15601 S Harlem Ave,Orland Park,US,Illinois,41.608957,-87.793849,Italian Restaurant,0,25
Luigis Pizza,10402 Atlantic Ave,Ozone Park,US,New York,40.690068,-73.840815,Restaurant and Pizza Place,0,25
Tonys Pizza,1107 Rutland Rd,Brooklyn,US,New York,40.664732,-73.923207,Restaurant and Pizza Place,0,25
Tonys Pizza,1829 Deer Park Ave,Deer Park,US,New York,40.758695,-73.327918,Restaurant and Pizza Place,0,25
Pizzanos Pizza Grinderz,126 California Blvd,Davenport,US,Florida,28.292761,-81.665247,American Restaurant,0,25
Mazzios Pizza,5025 Eastex Fwy,Beaumont,US,Texas,30.121609,-94.150623,Italian Restaurant,0,25
Dumms Pizza,4704 Riverdale Rd,Riverdale,US,Maryland,38.962046,-76.93484,Traditional Pizza Place,0,25
Danos Pizzeria,16505 Heil Ave,Westminster,US,California,33.722834,-117.972326,Traditional Pizza Place,0,25
Little Caesars Pizza,2200 Winter Springs Blvd,Oviedo,US,Florida,28.672778,-81.224444,Restaurant and Pizza Place,0,25
Crispy Crust Pizza,3111 Glendale Blvd,Los Angeles,US,California,34.116565,-118.260933,Traditional Pizza Place,0,25
Ians Pizza by the Slice,319 N Frances St,Madison,US,Wisconsin,43.072948,-89.395637,Traditional Pizza Place,0,25
Romanos Family Italian Restaurant,5225 Canyon Crest Dr,Riverside,US,California,33.956641,-117.331733,Italian Restaurant,25,40
The Pub in Gahanna,207 W Johnstown Rd,Columbus,US,Ohio,40.017252,-82.885452,Clubs,0,25
Luciano Express Rivercenter Mall,849 E Commerce St Ste 157,San Antonio,US,Texas,29.42357,-98.484701,Italian Restaurant,25,40
Mangieris Pizza Cafe,2133 Lohmans Crossing Rd,Austin,US,Texas,30.34222,-97.969935,Italian Restaurant,25,40
Giovannis Pizza,5604 Greene St,Philadelphia,US,Pennsylvania,40.033556,-75.175527,Restaurant and Pizza Place,0,25
Fuoco Pizzeria Napoletana,101 N Harbor Blvd,Fullerton,US,California,33.870623,-117.924458,Italian Restaurant,0,25
Stingers Bar Pizzaria,1201 S. Ocean Blvd. (A1A),Pompano Beach,US,Florida,26.222717,-80.091804,Others,25,40
Il Villaggio Pizzeria,75 Lafayette Ave,Suffern,US,New York,41.11518,-74.150799,Traditional Pizza Place,0,25
Lonnies Pizzeria,8343 W Irving Park Rd,Chicago,US,Illinois,41.951933,-87.836669,Traditional Pizza Place,0,25
Johnnys New York Style Pizza,7363 Spout Springs Road,Flowery Branch,US,Georgia,34.110972,-83.874223,Italian Restaurant,25,40
Bills Pizza Pub,1431 NC Highway 68 N,Oak Ridge,US,North Carolina,36.164904,-79.984403,Restaurant and Pizza Place,0,25
Good Times Pizza,4582 State St,Saginaw,US,Michigan,43.438692,-84.006524,Restaurant and Pizza Place,0,25
Reginas Pizzeria,17649 Union Tpke,Fresh Meadows,US,New York,40.725954,-73.791734,Traditional Pizza Place,0,25
Villagio Pizzeria,41 N Baldwin Ave,Sierra Madre,US,California,34.162741,-118.052691,Traditional Pizza Place,0,25
Dantes Pizzeria,285 S Broadway,Hicksville,US,New York,40.76265,-73.516777,Restaurant and Pizza Place,0,25
Ultimate California Pizza,1502 Highway 17 N,Myrtle Beach,US,South Carolina,33.623753,-78.970276,American Restaurant,0,25
Romans Pizzeria,391 N Royal Poinciana Blvd,Miami,US,Florida,25.826305,-80.287501,Restaurant and Pizza Place,0,25
Razzos,4312 MacArthur Blvd,Oakland,US,California,37.78713,-122.194414,Others,0,25
Amore,3600 Cutler Ave NE,Albuquerque,US,New Mexico,35.08161,-106.61275,Italian Restaurant,25,40
Famous Amadeus Pizza,616 Amsterdam Ave,New York,US,New York,40.79013,-73.973197,Restaurant and Pizza Place,0,25
Tomato Pie,11661 Preston Rd,Dallas,US,Texas,32.909301,-96.805238,Italian Restaurant,0,25
Larrys Pizza Conway,1068 Markham St,Conway,US,Arkansas,35.092948,-92.439413,Traditional Pizza Place,0,25
Caps Island Grille,10999 S Ocean Dr,Jensen Beach,US,Florida,27.264124,-80.202568,American Restaurant,25,40
Papa Murphys Pizza,8113 Moores Ln,Brentwood,US,Tennessee,35.965384,-86.801143,Traditional Pizza Place,0,25
The WurliTzer Pizza Co,1401 Nash Rd,North Tonawanda,US,New York,43.060997,-78.865475,Restaurant and Pizza Place,0,25
Papis Pizzeria,109 E 8th St,Los Angeles,US,California,34.042482,-118.252786,Restaurant and Pizza Place,0,25
Carlos Pizza,575 Seneca Ave,Ridgewood,US,New York,40.704542,-73.910649,Italian Restaurant,0,25
Rosarios Pronto Pizza Italian Restaurant,289 W Main St,Leola,US,Pennsylvania,40.085942,-76.20824,Italian Restaurant,0,25
Big Mikes Pizza And Pasta,554 State Route 17M,Monroe,US,New York,41.321164,-74.181577,Traditional Pizza Place,25,40
Lupis Pizza,2382 N Ocoee St,Cleveland,US,Tennessee,35.177025,-84.86655,Traditional Pizza Place,0,25
Alamo Pizza,3938 S Zarzamora St,San Antonio,US,Texas,29.385755,-98.532876,Restaurant and Pizza Place,0,25
Palermos Pizza 2,1579 W McDowell Rd,Avondale,US,Arizona,33.463851,-112.338715,Traditional Pizza Place,0,25
Old Shawnee Pizza,2422 S 34th St,Kansas City,US,Kansas,39.057669,-94.668251,Restaurant and Pizza Place,0,25
Francos Pizza,411 Trenton Ave,Utica,US,New York,43.116936,-75.210664,Restaurant and Pizza Place,0,25
Pizza World,1387 Coney Island Ave,Brooklyn,US,New York,40.623776,-73.964585,Restaurant and Pizza Place,0,25
Big Daddys Pizza,7669 S 700 E,Midvale,US,Utah,40.611632,-111.87117,Restaurant and Pizza Place,0,25
Bravos Pizza of Avondale,817 Gap Newport Pike,Avondale,US,Pennsylvania,39.835408,-75.797744,Traditional Pizza Place,0,25
Streets of New York,5843 W Thunderbird Rd,Glendale,US,Arizona,33.609418,-112.185001,Restaurant and Pizza Place,0,25
Sir Nicks Pizza,1441 Palatine Rd,Hoffman Estates,US,Illinois,42.109723,-88.114846,Restaurant and Pizza Place,0,25
Als Pizza Subs,407 N Enola Rd,Enola,US,Pennsylvania,40.299281,-76.929266,Traditional Pizza Place,0,25
Tornettas Pizzeria,104 Wilson St,Pottstown,US,Pennsylvania,40.260837,-75.643603,Restaurant and Pizza Place,0,25
LaRosas Pizzeria Mt Zion,280 Mount Zion Rd,Florence,US,Kentucky,38.956832,-84.626501,Traditional Pizza Place,0,25
Lucky Vitos Pizzeria,2171 N Milwaukee Ave,Chicago,US,Illinois,41.920797,-87.693446,Restaurant and Pizza Place,25,40
Barlos Pizzeria,1345 W Southport Rd,Indianapolis,US,Indiana,39.663295,-86.18391,Traditional Pizza Place,25,40
Rubinos Pizza,128 W MacArthur Blvd,Santa Ana,US,California,33.699692,-117.869327,Restaurant and Pizza Place,0,25
Giorgios Pizzeria and Italian Ristorante,224 Smithtown Blvd,Nesconset,US,New York,40.834299,-73.149858,Restaurant and Pizza Place,0,25
LaScalas,1701 John F Kennedy Blvd,Philadelphia,US,Pennsylvania,39.954332,-75.168705,Italian Restaurant,0,25
Toppers Pizza,2100 Saviers Rd,Oxnard,US,California,34.179341,-119.176972,Traditional Pizza Place,0,25
Grimaldis,24202 61st Ave,Little Neck,US,New York,40.75432,-73.739834,Restaurant and Pizza Place,25,40
Goodfellas Pizza,11865 E Colonial Dr,Orlando,US,Florida,28.568121,-81.20589,Traditional Pizza Place,0,25
Allens Stone Baked Pizza,115 Margie Dr Ste A,Warner Robins,US,Georgia,32.621373,-83.690373,Traditional Pizza Place,0,25
Yaghis Pizzeria,920 N Vista Ridge Blvd Ste 550,Cedar Park,US,Texas,30.531015,-97.791043,Traditional Pizza Place,0,25
Organ Piper Pizza Palace,4353 S 108th St,Milwaukee,US,Wisconsin,42.965297,-88.048488,American Restaurant,0,25
East Coast Pizza,17304 Chesterfield Airport Rd,Chesterfield,US,Missouri,38.668069,-90.60108,Restaurant and Pizza Place,0,25
Yia Yias,1423 O St,Lincoln,US,Nebraska,40.813599,-96.70054,Clubs,25,40
J V Pizzeria,6316 18th Ave,Brooklyn,US,New York,40.619841,-73.989539,Traditional Pizza Place,0,25
The Pizza Shop,1451 E Columbia Ave,Philadelphia,US,Pennsylvania,39.974466,-75.13269,Restaurant and Pizza Place,0,7
Davannis Pizza and Hot Hoagies,8061 Flying Cloud Dr,Eden Prairie,US,Minnesota,44.857508,-93.425734,Italian Restaurant,25,40
Picasso Pizzeria,303 S End Ave,New York,US,New York,40.710243,-74.016011,Traditional Pizza Place,25,40
Giordanos,3641 E Main St,Saint Charles,US,Illinois,41.920038,-88.271585,Restaurant and Pizza Place,0,25
Totos Pizzeria Restaurant,1690 El Camino Real,San Bruno,US,California,37.613777,-122.404603,Restaurant and Pizza Place,25,40
Sbarro,401 Broadhollow Rd,Melville,US,New York,40.795179,-73.410693,Restaurant and Pizza Place,0,25
Falbo Bros Pizzeria,2100 Norcor Ave,Coralville,US,Iowa,41.703666,-91.586744,Italian Restaurant,0,25
Moon Dogs Pizza,2490 W State Route 89A,Sedona,US,Arizona,34.863223,-111.803756,Restaurant and Pizza Place,0,25
The Big Cheese Pizza Co,1265 S State St,Hemet,US,California,33.72854,-116.973359,Traditional Pizza Place,0,25
LaRosas Pizzeria Latonia,5128 Taylor Mill Rd,Latonia,US,Kentucky,39.018053,-84.506205,Traditional Pizza Place,0,25
Rustys Pizza Parlor,270 Storke Rd,Goleta,US,California,34.428958,-119.869467,Traditional Pizza Place,0,25
Knollas Pizza,7732 E Central Ave,Wichita,US,Kansas,37.69484,-97.245802,Restaurant and Pizza Place,0,25
Petes Pizzeria 2,5847 W Montrose Ave,Chicago,US,Illinois,41.960334,-87.773985,Traditional Pizza Place,0,25
Pantanos,3535 Merrick Rd,Seaford,US,New York,40.665468,-73.500011,American Restaurant,25,40
Campisis Restaurant Lovers Lane,5405 W Lovers Ln,Dallas,US,Texas,32.851471,-96.820177,Italian Restaurant,25,40
Pupatella Neapolitan Pizza,5104 Wilson Blvd,Arlington,US,Virginia,38.877608,-77.122194,Traditional Pizza Place,25,40
Franks Pizza Restaurant,4106 E Tremont Ave,Bronx,US,New York,40.818721,-73.817239,Restaurant and Pizza Place,0,25
La Casa Pizza,1014-06 Fort Salonga Rd,Northport,US,New York,40.906588,-73.316074,Italian Restaurant,0,25
La Gourmet Pizza,325 W Main St,Lexington,US,Kentucky,38.04895,-84.499832,Traditional Pizza Place,0,25
